,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
147,6.0,6,84,31,962312.0,15.03892857142857,48.963840646190405,122665.28559399997,181366.19910509998,Bebidas,San Juan,45.0,1,1460.30101897619,8003.88,-173.136249,4,1514.9965706889611,0.011904761904761904,0
148,6.0,7,102,32,940823.0,16.808431372548995,53.70283935568618,132246.83511679998,198257.2645807001,Bebidas,San Juan,45.0,1,1296.5375991843134,6194.1138,-173.136249,4,1512.3728219555503,0.00980392156862745,0
149,6.0,8,110,35,1014967.0,17.82872727272725,58.04349558436351,135110.94869599992,201830.55539935015,Bebidas,San Juan,45.0,1,1228.2813517818174,7266.277992,-173.136249,4,1511.994585997356,0.00909090909090909,0
150,6.0,9,133,39,1238815.0,17.179999999999982,58.57923609022539,156896.0900889999,233983.53263375015,Bebidas,San Juan,45.0,1,1179.6698502932322,7266.277992,-173.136249,4,1504.741505025636,0.007518796992481203,0
151,6.0,10,109,32,1177504.0,16.588807339449513,59.37054311926595,143273.3459067999,210007.2872203501,Bebidas,San Juan,45.0,0,1314.4343661174303,8099.9266,50.69124,4,1474.1141531216256,0.0,0
152,6.0,11,72,25,735694.0,16.355277777777772,59.87541250000001,83117.405817,121538.85351134997,Bebidas,San Juan,45.0,0,1154.408414125,8099.9266,50.69124,4,1482.735838707022,0.0,0
153,6.0,12,53,23,432275.0,17.349056603773594,60.81456981132078,60818.90254200002,87408.64404300001,Bebidas,San Juan,45.0,0,1147.5264630566041,8099.9266,209.8795,4,1444.9593419906996,0.0,0
154,6.0,13,55,22,519061.0,17.76000000000001,63.88553181818175,68719.56430000001,96163.89531630001,Bebidas,San Juan,45.0,0,1249.446623636364,8099.9266,125.6471,4,1491.5581587698466,0.0,0
155,6.0,14,54,23,483796.0,19.705925925925925,65.24364537037033,65689.8580314,90085.41354900002,Bebidas,San Juan,45.0,0,1216.4788524333333,7963.8606,125.6471,4,1471.154412451374,0.0,0
156,6.0,15,90,26,935383.0,18.333444444444464,67.14506500000005,101109.03737779998,138768.06688314007,Bebidas,San Juan,45.0,0,1123.4337486422219,7963.8606,43.9968,4,1434.0369584981904,0.0,0
